Ensembl_Human	log2FoldChange	orig_padj_BH	orig_padj_bonf	re.estimated_pvalue	re.estimated_padj
ENSG00000182378	1.05671537655384	0.00914027076874045	1	0.429369159864119	0.913196368423596
ENSG00000105755	0.473447455872488	0.00127866061318427	1	0.336077504039144	0.836221492779171
ENSG00000171115	-1.65569795801408	0.0250044468247965	1	0.491707774258418	0.951434149605443
ENSG00000131116	0.724415416110974	0.00149945651534069	1	0.342582853335011	0.841948537134704
ENSG00000122986	-2.9496331087418	8.48739363767484e-32	4.20834098843602e-29	0.000846091864797005	0.030417884609618
ENSG00000179921	-0.693029744681023	0.73260832555507	NA	0.903895842028628	0.999982593374402
ENSG00000135205	0.585596771335787	0.67257671570597	NA	0.882456569719702	0.999982593374402
ENSG00000205643	1.04684927413312	1.09849163520755e-10	3.27911590668581e-07	0.0625202243811431	0.373411120182806
ENSG00000278637	1.00314016340399	0.220912148480869	1	0.692866747986036	0.999982593374402
ENSG00000136560	0.155098742291206	0.115976421843956	1	0.619813328160956	0.994753915141239
ENSG00000074054	-0.205528230926048	0.0349972441447568	1	0.515680240195053	0.963528170012442
ENSG00000164161	-3.16401522390273	0.000334341033533548	1	0.287173279061042	0.787319466308584
ENSG00000144285	-1.14560275217649	0.376406308787046	NA	0.769435457251651	0.999982593374402
ENSG00000139053	-3.12045264379028	0.0436206080475509	NA	0.532422164085683	0.970911745580392
ENSG00000198888	0.161563318173016	0.631642342625064	1	0.867584619709358	0.999982593374402
ENSG00000198763	0.762961108781164	0.00496922895277968	1	0.397047737398067	0.889284478675302
ENSG00000198804	0.767428573322258	2.93250064683637e-07	0.00126024547124475	0.135217961386815	0.560865884099365
ENSG00000198712	1.06809347305045	1.2304730136826e-05	0.0646883119777251	0.199315718485934	0.675841755013383
ENSG00000228253	1.07174066322777	0.00271061242166113	1	0.368134632249935	0.865590634012191
ENSG00000198899	0.513116858427863	0.108987267149652	1	0.613395354576151	0.994753915141239
ENSG00000198938	0.4208573777865	0.304027096788972	1	0.736230961863739	0.999982593374402
ENSG00000198840	1.01839932260856	0.0583956198515783	1	0.556223950910942	0.9779175925732
ENSG00000198886	-0.1060730519179	0.65064978000569	1	0.874537323735292	0.999982593374402
ENSG00000198786	0.144876183319294	0.494887237952487	1	0.817051443612549	0.999982593374402
ENSG00000198695	1.88626441542525	2.97690072278296e-14	6.40790938921474e-11	0.029132603287445	0.241298163873601
ENSG00000198727	0.263928191433811	0.12161324273749	1	0.624672247998619	0.996054372301969
ENSG00000250722	-2.45907289153127	4.71628085224649e-17	7.78174531751049e-14	0.0162263139316727	0.175324340971916
ENSG00000199212	0.0236213915738876	0.984690398324162	NA	0.993819811846699	0.999982593374402
ENSG00000206633	0.62545398874336	NA	NA	0.914172422650487	0.999982593374402
ENSG00000201998	1.98973026806035	0.0688612235094176	NA	0.570414339128595	0.982359912381327
ENSG00000238649	1.15385977582069	0.144583007030631	1	0.642922998767675	0.999982593374402
ENSG00000207406	0.559349400359158	0.384413908059364	1	0.772847156531614	0.999982593374402
ENSG00000201541	0.0931561693172783	0.919870353820123	1	0.970198311716575	0.999982593374402
ENSG00000202059	0.0931561693172783	0.919870353820123	1	0.970198311716575	0.999982593374402
ENSG00000200816	-1.83715205509992	0.182093993029391	NA	0.669104480636356	0.999982593374402
ENSG00000199293	0.0267448797296818	0.989235807741518	NA	0.99561375355752	0.999982593374402
ENSG00000206760	1.12571729576868	0.0269544065295175	1	0.496880386371195	0.954765895749914
ENSG00000207493	0.756169431240012	0.553650504585963	NA	0.839175041642404	0.999982593374402
ENSG00000199477	0.194468118375354	0.784887106803555	1	0.922115397554933	0.999982593374402
ENSG00000263776	0.678805720788214	0.501335930233547	NA	0.819507139140718	0.999982593374402
ENSG00000206799	-0.0243069811857758	0.980122165865102	1	0.992050394396233	0.999982593374402
ENSG00000206776	-0.0243069811857758	0.980122165865102	1	0.992050394396233	0.999982593374402
ENSG00000207503	-0.0243069811857758	0.980122165865102	1	0.992050394396233	0.999982593374402
ENSG00000207145	0.702690863075383	0.238660797229342	1	0.702777858792194	0.999982593374402
ENSG00000206603	-0.297007735701901	0.771766217975824	NA	0.917567832664652	0.999982593374402
ENSG00000206634	-0.297007735701901	0.771766217975824	NA	0.917567832664652	0.999982593374402
ENSG00000207344	-0.297007735701901	0.771766217975824	NA	0.917567832664652	0.999982593374402
ENSG00000201643	1.56436963395912	0.0792353911838276	NA	0.582954358554648	0.986480182505097
ENSG00000207181	1.56436963395912	0.0792353911838276	NA	0.582954358554648	0.986480182505097
ENSG00000251922	1.56436963395912	0.0792353911838276	NA	0.582954358554648	0.986480182505097
ENSG00000200222	-0.979005448959542	0.567991224637175	NA	0.844709834629541	0.999982593374402
ENSG00000147526	-1.45230808975781	1.90559663167729e-40	5.82316215616137e-38	0.000159466627834393	0.00927992855774878
ENSG00000103381	-0.0902841668672433	0.452032375422138	1	0.800419860538126	0.999982593374402
ENSG00000175756	0.744616582690025	4.03974141330199e-17	6.63146467166215e-14	0.0160036054444568	0.173815569081103
ENSG00000162496	-0.66616967466465	0.012976727276314	1	0.449545602572286	0.928650820124737
ENSG00000127481	0.0572338400134837	0.470196585887982	1	0.807540742559327	0.999982593374402
ENSG00000125944	-0.10033888181683	0.36673734030229	1	0.765339577894574	0.999982593374402
ENSG00000130772	1.04665592858605	1.01951933997324e-12	2.49666614550115e-09	0.0402939897383792	0.293360745503311
ENSG00000204138	0.356638981780073	0.00710661569762511	1	0.415601421534407	0.902984510704381
ENSG00000178031	-2.54125004096167	3.35633074750057e-06	0.0163338665630245	0.173685690817994	0.636196687276773
ENSG00000171798	4.79758040773786	2.72922235263405e-05	0.150878451543895	0.217218142678898	0.700435908007976
ENSG00000136875	0.575800599392262	0.000473056899964842	1	0.298946206942111	0.799047521642856
ENSG00000176386	0.278057469024216	0.00240756939052459	1	0.362844240956478	0.860449913695806
ENSG00000136868	0.257313406923548	0.0207992650181204	1	0.479280381391278	0.945418595997129
ENSG00000119321	0.105697679032197	0.0822576354914705	1	0.586421237165416	0.987188250689639
ENSG00000136867	-0.274857352969403	0.00173611959197388	1	0.348669606211452	0.848067002124383
ENSG00000165138	-2.93398503980053	1.83169104280863e-23	1.73624854432794e-20	0.00440437028294838	0.0828420588122235
ENSG00000137098	-1.04131628346225	0.0107090744750697	1	0.438313195662719	0.920247631141424
ENSG00000205339	1.26004389013571	7.65881532973284e-33	3.57184533411905e-30	0.000690639411907057	0.0263787924687189
