Ensembl_Human	log2FoldChange	orig_padj_BH	orig_padj_bonf	re.estimated_pvalue	re.estimated_padj
ENSG00000135437	0.769510207	0.010829791	1	0.137729123	0.603426787
ENSG00000135404	-0.016309161	0.933268981	1	0.942137513	0.99957234
ENSG00000135414	-0.969821523	0.000585035	1	0.052507995	0.379027549
ENSG00000123353	0.305611454	0.14596971	1	0.360784909	0.881980295
ENSG00000135392	0.001587962	0.987396764	1	0.988026817	0.99957234
ENSG00000257390	0.001587962	0.987396764	1	0.988026817	0.99957234
ENSG00000123342	-1.502852415	5.45e-05	0.099566779	0.024880081	0.258301583
ENSG00000065357	0.71258025	6.87e-08	5.81e-05	0.003453156	0.07739088
ENSG00000123374	-0.046630364	0.786572778	1	0.833502338	0.996332353
ENSG00000185664	0.50331719	0.045218637	1	0.227874841	0.758472615
ENSG00000197728	0.021389706	0.848443837	1	0.879278072	0.997421634
ENSG00000170515	-0.241145266	0.294102001	1	0.489394179	0.949336544
ENSG00000139641	0.363062041	0.004692393	1	0.10351119	0.53122
ENSG00000139613	-0.101278916	0.36224991	1	0.540131365	0.964907041
ENSG00000113100	0.411760045	0.818571828	NA	0.856757107	0.996332353
ENSG00000176108	0.228362741	0.082696757	1	0.287248259	0.820559871
ENSG00000175866	-0.585378625	9.69e-06	0.014079144	0.014712838	0.191992106
ENSG00000181852	0.005055071	0.966739117	1	0.97032381	0.99957234
ENSG00000139579	-0.04359223	0.791797552	1	0.837313466	0.996332353
ENSG00000181409	-1.089146426	0.001417458	1	0.069502629	0.442790151
ENSG00000167302	-0.093655297	0.467946036	1	0.614379925	0.979738815
ENSG00000186765	0.801994159	NA	NA	0.806452904	0.995698367
ENSG00000257727	-0.260070945	0.05835199	1	0.250898808	0.784860022
ENSG00000144785	-0.260070945	0.05835199	1	0.250898808	0.784860022
ENSG00000110944	1.239456964	2.83e-05	0.047568699	0.020388709	0.229809724
ENSG00000185504	-0.200603359	0.324533485	1	0.512107052	0.957982937
ENSG00000185527	0.312847858	0.779520442	1	0.828492208	0.996332353
ENSG00000110955	-0.129291058	0.405657692	1	0.571371754	0.971584293
ENSG00000198056	-0.900228898	0.003134622	1	0.090288291	0.501236101
ENSG00000166866	-0.856728313	0.178147193	1	0.392426387	0.901178278
ENSG00000166886	-0.078652905	0.762558848	1	0.817156109	0.996239877
ENSG00000182199	-0.634421294	0.006217416	1	0.113913313	0.553955134
ENSG00000179912	0.262825233	0.030704183	1	0.197770679	0.716632358
ENSG00000111087	-0.444000926	0.590598471	1	0.698159869	0.990957385
ENSG00000175197	0.728691814	0.117235995	1	0.329998143	0.857457994
